"","mean","total","tech","bio","p.value","FDR"
"Car2",5.51093501821213,4.29381100183277,0.534493421664443,3.75931758016833,6.15340208372148e-45,2.11615497659182e-41
"Hbb-bt",7.33010423995086,4.37223605952812,0.678644562767108,3.69359149676101,1.03644871827818e-27,1.25800487370306e-24
"Ighg2c",4.36723242663681,4.02775506983077,0.411253624565622,3.61650144526515,4.60864128785211e-69,9.50947043335404e-65
"Ighg2b",3.59814973104142,3.97394248272897,0.434518963744052,3.53942351898492,1.46747862835463e-59,7.56998850436734e-56
"Tmcc2",4.02789970750543,3.88896603846069,0.407519863043736,3.48144617541695,2.66980203727235e-65,2.75443476185388e-61
"DEPRECATED_ENSMUSG00000076613",3.833384428323,3.84472514741814,0.414654993891555,3.43007015352658,2.3384385738656e-61,1.60837805110476e-57
"Cr2",2.66609336831471,3.95461485730445,0.569093283310969,3.38552157399349,1.00629201227228e-32,1.73031911510219e-29
"Alas2",4.32045110654005,3.57346222063805,0.410685178001477,3.16277704263657,1.83689179148577e-53,7.5804850451035e-50
"Hba-a2",8.77952756631397,4.53738209559227,1.4237634730414,3.11361862255087,6.5561909302339e-06,0.0014240046700468
"Ermap",3.58763614811971,3.42382938550386,0.435597655285288,2.98823173021858,7.53190765136327e-43,2.22019117826042e-39
"Slc4a1",3.46026338698138,3.41564570439665,0.449404551079927,2.96624115331673,8.09338435586804e-40,1.85554325332201e-36
"Ms4a1",2.82862618261498,3.31046171248959,0.540892732564429,2.76956897992516,9.48529557924675e-25,9.78597944910887e-22
"Jchain",3.9820885238566,3.16208890982502,0.408823781723838,2.75326512810118,2.26936802633911e-41,5.85326748193516e-38
"Ighg3",2.41427724331978,3.28164575164112,0.612349810445797,2.66929594119532,1.8577299100515e-18,1.36901424871438e-15
"Ank1",3.338226976863,3.13327958108704,0.464214087468045,2.669065493619,1.06754832592525e-30,1.57341372551012e-27
"Ighj1",4.84862806087454,3.05457574578426,0.460549322495977,2.59402642328828,1.53981177121626e-29,2.11816507248509e-26
"Mfge8",2.37410145158574,3.20488772735439,0.619064008763807,2.58582371859058,4.24325475819641e-17,2.91851062268749e-14
"Cd19",3.75788009056813,2.99269730437475,0.419851846524226,2.57284545785052,1.33526950346143e-34,2.50472281222029e-31
"Aqp1",3.86493131995378,2.95093974939802,0.412793368599554,2.53814638079847,8.02956876497565e-35,1.65682121896508e-31
"Spta1",2.91068386753525,3.0588646424451,0.52711152714592,2.53175311529918,5.24526887820165e-22,5.15385133489585e-19
"Ctse",3.40803331223086,2.95995249283212,0.455619258644614,2.50433323418751,3.17971236460474e-28,4.10063655820339e-25
"Trim10",2.99005611073653,2.9698958356098,0.514267878141785,2.45562795746802,8.99784476242155e-22,8.43916040126392e-19
"Hmbs",3.92174729437372,2.82246312276715,0.411505362566232,2.41095776020092,8.44870350886368e-32,1.34100421693764e-28
"Iglc1",3.40270748479367,2.81560998913976,0.456251214773807,2.35935877436595,3.32511394318501e-25,3.81168895020441e-22
"Car1",2.91889044892093,2.85732278216995,0.52575987634406,2.33156290582589,4.88355543985783e-19,3.87566472869332e-16
"Kel",2.68039569749418,2.88778007669868,0.566591167023543,2.32118890967514,1.61565865284898e-16,1.01022729220866e-13
"Sptb",2.88888507336065,2.84758210453124,0.530719916570175,2.31686218796107,1.66022269919127e-18,1.26877908055973e-15
"Gypa",2.65440029216874,2.85963519288628,0.571127838029023,2.28850735485726,6.99918551369934e-16,4.1263198254192e-13
"Dmtn",2.75419547107983,2.83282284782325,0.553736147037261,2.27908670078599,1.17840915796386e-16,7.84364340820201e-14
"Cd79b",3.71769522001906,2.59855356009758,0.423183591580231,2.17536996851735,6.27081825877809e-25,6.81010862903301e-22
"H2-DMb2",3.51242646600737,2.54738361203567,0.443587951278059,2.10379566075761,1.66838943548877e-21,1.49676293964675e-18
"Pou2af1",2.92167542939358,2.58423643150422,0.525302772097832,2.05893365940639,2.83367559256849e-15,1.5802719507313e-12
"Ypel4",2.3418666170429,2.66812660440615,0.624436057721032,2.04369054668512,3.45906290222276e-11,1.48696466509301e-08
"Snca",2.60614567140526,2.60474795696566,0.579535056336845,2.02521290062881,1.65110507339695e-12,8.73561591909555e-10
"Apol11b",2.4154784270128,2.63676244260758,0.612148267821783,2.0246141747858,2.1807909607018e-11,9.57413631555764e-09
"C3",2.61492637251359,2.52984877466614,0.578002100181143,1.951846674485,8.49860033182993e-12,4.27707607919461e-09
