EntrezID,Symbol,Length,logFC,AveExpr,t,P.Value,adj.P.Val,B
12766,Cxcr3,1608,-5.01074290153365,2.58178169922454,-14.1432585804527,4.35256903259889e-09,0.0000581546748445537,9.92522661942422
72469,Plcd3,3031,-5.07512735799938,-1.28769510600083,-10.7901722355559,0.000000102202376399664,0.000479845716002967,6.22640915903044
57765,Tbx21,2552,-2.82889067223148,2.67314572136034,-10.7404047387198,0.000000107741722027461,0.000479845716002967,8.12972492423914
399609,C130046K22Rik,3313,-7.44308749819104,-2.49216028688201,-9.85423841511956,0.000000285551311277218,0.000953812767493726,3.32321123670392
67425,Eps8l1,2522,-3.29753732567661,2.36028477829035,-9.38129513009216,0.000000494407661982409,0.00132115615434939,6.50138766084289
22062,Trp73,5326,-4.77826179370687,-3.11424837292554,-9.00621706534767,0.000000775935390008022,0.00172787879098286,4.80882210806108
212996,Wbscr17,4196,-6.20870126464148,-5.55643982156901,-8.27611562453452,0.00000194529010497662,0.00371300301322752,2.35008020363721
21754,Tesk1,3620,-1.28721906754999,4.08811447700292,-7.82206387869073,0.00000354937046003131,0.0059278923395598,4.77955187513282
217154,Stac2,3049,1.27004229056642,3.91905990111215,7.72320074103784,0.00000405884767617125,0.00602558486681378,4.64954141916131
170786,Cd209a,1484,4.99766198847866,-2.62962160762555,7.15921049126158,0.00000892520606380244,0.010857108053397,1.3990658117534
100503231,Gm19601,177,5.88727523088027,0.731255507326481,7.15816627392431,0.00000893856661831948,0.010857108053397,1.70241471769032
67434,Ankrd33b,8600,2.05628399977746,0.973549625192879,6.89960445266883,0.000013001721893937,0.0137436171612427,3.57615288561787
68070,Pdzd2,13413,-1.55095994480867,0.856649684586402,-6.858964399278,0.0000138013653395257,0.0137436171612427,3.38854800680929
269389,Tox2,1675,-2.71414690412696,-0.392660727383678,-6.79464917661509,0.0000151752743998144,0.0137436171612427,3.41036452569858
67887,Saraf,1899,-1.11439915585113,4.13345277225266,-6.77492206204669,0.0000156252007541871,0.0137436171612427,3.29143510140166
170942,Erdr1,777,3.82793177514077,2.9867063678492,6.73994009795109,0.0000164581898495534,0.0137436171612427,3.26788130116658
100862004,NA,877,2.60182455545671,3.44956105904181,6.54169938325887,0.0000221588690553181,0.0159412599190869,3.06419269500881
20917,Suclg2,2279,-1.25674490401275,3.1144334734382,-6.52238699198894,0.0000228167250232581,0.0159412599190869,2.95971622539304
17427,Mns1,1807,-1.71160217318041,2.68710817121998,-6.50129559850379,0.0000235588698163292,0.0159412599190869,2.93157773602523
26943,Serinc3,3694,-1.12403503980496,8.47892523628932,-6.45402900364813,0.0000253164304192524,0.0159412599190869,2.69317515428398
74153,Uba7,3162,1.15136741779873,5.64440803207645,6.4514756900315,0.000025415240191532,0.0159412599190869,2.72410459390292
26904,Sh2d1b1,1433,1.89925576104656,0.51396301245147,6.43034978996511,0.0000262486129945298,0.0159412599190869,2.88892326791891
14733,Gpc1,3552,-4.00232362192756,-2.8070438583484,-6.35779215058183,0.0000293381427723398,0.0170429098078796,1.68368959868072
93706,Pcdhgc3,4687,-1.4991601881731,-1.16120561469962,-6.28739253832633,0.0000327054649301682,0.0182074048721657,2.66976193998117
23937,Mab21l2,2703,-4.47251686066247,-3.01974957064796,-6.22672347878403,0.0000359354331636017,0.0187997737456024,1.53335561670797
83558,Tex11,3594,5.17983049111786,-1.90385152494821,6.21524400795153,0.0000365836477348749,0.0187997737456024,1.99611921705289
100861696,NA,250,2.40791441278543,3.55007788718295,5.935415331174,0.0000568853469242919,0.0281498192687209,2.06195732852011
14159,Fes,2762,0.975736926803187,3.85689346732075,5.90109139216517,0.0000600954924603901,0.0286762812415455,1.87079402527939
109979,Art3,1564,-4.04251855048892,-0.700121236550732,-5.7692716866016,0.0000743137357443892,0.0336054923054642,1.5299678912784
100861924,NA,250,2.1163578808167,3.59010523502543,5.75986255512139,0.0000754557869294159,0.0336054923054642,1.85467384686693
233046,Rasgrp4,4636,1.62015734369542,1.56105200072739,5.72934831133796,0.0000792884258630484,0.0341733115469739,1.80175482712563
215789,Phactr2,8913,-1.44132817723966,-0.739613656216916,-5.60780020734418,0.0000967124629267616,0.0383569006195537,1.66128495848473
23790,Coro1c,3436,-1.15484058633831,4.75892758078624,-5.59012967925095,0.0000995633585955553,0.0383569006195537,1.32957614511188
