symbol,chromosome_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,Overlap_Ly_et_al
Gm8797,3,5.414903455147229,5.411228904452177,36.51306403828989,1.3855889251013979e-14,1.8011270437393071e-10,19.757781399764976,FALSE
Irgm2,11,1.622043187727316,5.814227813329955,17.598574096746205,1.646073136364978e-10,1.0698652349804176e-6,14.558712336291244,FALSE
Gm49980,18,-1.405429740238234,5.262532406781336,-14.826050419428276,1.410903378011904e-9,6.11344433692558e-6,12.47309130904232,FALSE
Nacad,11,3.051557156115383,3.7168040136528218,14.060367378253963,2.722375150279428e-9,7.00636267588919e-6,11.368567413562559,FALSE
Gm21887,X,2.0971896263684133,3.4355377199591586,13.865654982295489,3.2339546161500995e-9,7.00636267588919e-6,11.252983382884587,FALSE
Slc15a2,16,-3.3694342404262705,2.990032425166821,-14.183480620886137,2.4441793167773076e-9,7.00636267588919e-6,10.691309232010774,FALSE
Slpi,2,-1.884735487237947,9.15256758479147,-12.30284123428989,1.3984204218012583e-8,2.4394872261974164e-5,10.186467727020595,FALSE
Cxcr3,X,-1.4443791632887377,4.60290846668862,-12.231074308263175,1.5013383959981022e-8,2.4394872261974164e-5,10.152558498292308,TRUE
Fkbp11,15,-1.7406958980092435,4.137828258330842,-12.06762253281964,1.7672479412190543e-8,2.5524951097673873e-5,9.948923880644017,FALSE
Yipf4,17,-1.1294433504088603,5.718950077241036,-11.561267983646884,2.9644525632751054e-8,3.503174442728463e-5,9.46469968307942,FALSE
Eps8l1,7,2.5403214099003364,2.862764206974937,11.749338873945387,2.4409496045836413e-8,3.172990390998275e-5,9.145389168512162,FALSE
Cdk5rap1,2,-1.5476678815243958,3.5894389883075153,-10.886048875135922,6.089857404183648e-8,6.596838033081936e-5,8.710080647925757,FALSE
Eaf2,16,-1.8393540568700582,4.841300428933914,-10.451652192605659,9.868141839095828e-8,9.867382751262052e-5,8.297111199737689,FALSE
Ide,19,-0.9258350129456288,5.297941225456352,-10.116588162839198,1.447953654752043e-7,1.3444249684372718e-4,7.877482694354195,FALSE
Hist3h2ba,11,-1.5223518752541896,3.887220929524172,-9.161558034315448,4.5735153152511e-7,3.9634083721966037e-4,6.800145173888556,FALSE
Mzb1,18,-1.39640444539459,7.886264873791122,-8.952676302042923,5.952968974825151e-7,4.5519202178677723e-4,6.474463939706103,FALSE
Pkig,2,-0.7756979998581279,6.605381765848051,-9.000290991625025,5.603555515542035e-7,4.5519202178677723e-4,6.457422322374715,TRUE
Mocs1,17,-0.9239985533936412,4.68878296577891,-8.869528726313249,6.619974091701481e-7,4.6107587932637265e-4,6.375261786592814,FALSE
Trp53inp1,4,-0.759985487543152,6.323555363595115,-8.855595897237547,6.739319722441019e-7,4.6107587932637265e-4,6.264880481943669,FALSE
Sdc1,12,-1.1901928346468722,4.221657289787937,-8.506404347035746,1.06185991678426e-6,6.901558529139298e-4,5.9454557974615545,FALSE
Tbx21,11,-1.1772923027889957,3.6381678558896944,-8.377591042317022,1.2600217349771237e-6,7.121314144768535e-4,5.808838600085922,TRUE
Ly6c2,15,-0.8917946425769081,7.566533027151188,-8.389058179084186,1.2408805349877575e-6,7.121314144768535e-4,5.696071876194056,FALSE
Creld2,15,-0.8544228007491181,6.308747413092668,-8.384362879352478,1.2486803848845646e-6,7.121314144768535e-4,5.63206990152566,FALSE
Ubb,11,-1.4346352518194543,10.016216231230135,-8.073447353135396,1.9014611679507667e-6,9.890040918008162e-4,5.4009569288431685,FALSE
Abcc3,11,0.7448274766002285,5.200788763790947,8.073210987103113,1.9020772594061393e-6,9.890040918008162e-4,5.248117982786796,FALSE
Tspo2,17,-1.0134691562792435,6.959807942880801,-7.996276102973605,2.114334913113615e-6,0.001057086135983226,5.110423805344286,FALSE
Derl3,10,-1.0524078832957402,4.871654941921095,-7.602950485732837,3.671759658711711e-6,0.0017677482890219828,4.616506599139685,FALSE
Hid1,11,-1.089534662089958,3.376304881225445,-7.409964473847554,4.847271913995081e-6,0.0020325705680652277,4.493924724806158,FALSE
Rps27rt,9,0.8018690959801145,6.453445563742388,7.564494037762185,3.879271080874449e-6,0.001800951599295963,4.45868785552573,FALSE
Myh9,15,0.7041890115555027,6.778369895051531,7.50493234367789,4.225583824529198e-6,0.0018940815218984497,4.377469953171479,FALSE
Txndc11,16,-0.8125392973991721,5.859779503785793,-7.423805143311807,4.750934685444334e-6,0.0020325705680652277,4.259802817653229,FALSE
Zfp672,11,-0.8072620616563189,4.582566193404034,-7.302093172100793,5.672922591924098e-6,0.002304447524138167,4.198940991426203,FALSE
Plxdc1,11,1.1222939098261948,3.058526023609261,7.153237195840316,7.065277852932073e-6,0.0025511540780628894,4.137125923979694,FALSE
H1f0,15,-0.9182449611632277,5.047093532827536,-7.234170211944786,6.268291388037625e-6,0.0023325421402411247,4.048759010357508,FALSE
Rexo2,9,-0.6868418741499944,6.961964026935432,-7.232860249525692,6.2804042548226295e-6,0.0023325421402411247,3.9804471169275795,FALSE
Grip2,6,0.9768951620751385,3.68979363474069,6.947489519150985,9.614704371225698e-6,0.0032889879505674435,3.7822451671780257,FALSE
Ift20,11,-0.660236549567558,6.520270381268364,-7.083088746669021,7.842966995931962e-6,0.0027554250805437723,3.732133866641812,FALSE
Tpst1,5,-0.6903085109827467,4.757875303508472,-6.826631770001967,1.1552119776247738e-5,0.0037764047519330303,3.4478693846329964,FALSE
Ehd3,17,0.8670934459684698,3.776504633637798,6.712533205158575,1.3762691262493005e-5,0.004259552945741585,3.409569814425266,FALSE
Xbp1,11,-0.9375269892148621,7.282843163836408,-6.82276164314044,1.1620600821395584e-5,0.0037764047519330303,3.374131222386267,FALSE
Gm46224,10,1.173068559072576,2.6979366079475064,6.5184906895149615,1.86110653326224e-5,0.0053761164057501915,3.207717876379588,FALSE
Marco,1,0.8646184838531239,5.270133996788869,6.696981844860724,1.4096987681961745e-5,0.0042615521599493195,3.186922680040654,FALSE
Ikbkb,8,0.7262875905453736,6.932279665392287,6.595365609643502,1.650367616397887e-5,0.004875711055808213,2.9799797922417923,FALSE
Creb3l2,6,-0.7361815413761326,4.250164995417024,-6.397661472079365,2.2516929413445283e-5,0.006362990553160331,2.8423796157188868,FALSE
Serinc3,2,-0.8000076344702727,9.434445869184948,-6.350766949024111,2.4257948695461807e-5,0.00670912925728315,2.8237861044122914,TRUE
Cacna1s,1,-0.9401556307960575,3.2856301965805685,-6.258637002256824,2.8104904955936597e-5,0.007437304526585947,2.762678807107253,FALSE
Gm16793,8,-1.2142943431714786,2.753592833778507,-6.1834522857987935,3.171970019727044e-5,0.007707217555791549,2.692133042678309,FALSE
Bhlhe41,6,-1.4190281297097713,2.680033185582645,-6.165468830514545,3.265488416283503e-5,0.007707217555791549,2.668396388308013,FALSE
Zbtb32,7,-1.4202008734003877,2.1812758964450527,-6.088304927951029,3.700969703904916e-5,0.00815405172560339,2.543368315446185,FALSE
Cdkn1a,17,0.7925446243069758,4.065299740402541,6.1451069507407015,3.3748903837367827e-5,0.007707217555791549,2.458381378519997,FALSE
BC030867,11,-1.0057048100225177,3.2072428694633706,-6.025319014283378,4.101661700384701e-5,0.008599596845693665,2.398814806966999,TRUE
Il4i1,7,0.7849900830250602,5.722483321524975,6.235271832395107,2.9179362324477522e-5,0.007437304526585947,2.3915810831605384,FALSE
Cenpv,11,-0.7488334749111729,4.54201676036069,-6.14262495909202,3.388487346368608e-5,0.007707217555791549,2.377829890399398,FALSE
Uba52,8,0.6851774575965468,8.046871258520639,6.133593528804361,3.438452522524969e-5,0.007707217555791549,2.337006021296136,FALSE
Neil1,9,-0.9441143593223433,3.812527068804717,-6.03714940715733,4.023057081798285e-5,0.008573068689556707,2.3315028524544683,FALSE
Manf,9,-0.6157630910772989,7.292729189048561,-6.1773150401557695,3.2035641151711266e-5,0.007707217555791549,2.3253515909223985,FALSE
Eno1,4,-0.5209304742501191,6.049779374331487,-6.133518779614177,3.4388692840673115e-5,0.007707217555791549,2.2082902915898543,FALSE
Cacna1h,17,-0.8595817658423068,3.5062538684274225,-5.927677545400271,4.8155079536763395e-5,0.009342804162662498,2.195452091608537,FALSE
Ccl22,8,1.7811721941980418,1.3443232316935894,5.944402320534866,4.684523685817626e-5,0.009226382332112624,2.1852080259136812,FALSE
Aph1b,9,1.3399630942329122,2.1350067507165975,5.840250649675517,5.5657616094648814e-5,0.010069380112013993,2.1621830541952898,FALSE
Prg2,2,-0.8452639421390185,3.3667739723567354,-5.882755976632789,5.186739706312947e-5,0.009771366585849565,2.14082876621496,FALSE
Cd160,3,0.6923374740657477,4.019592191593816,5.948449616956587,4.653392682178468e-5,0.009226382332112624,2.1365914301339117,FALSE
Edem1,6,-0.7290334948333923,6.6912139725827116,-6.074274694873906,3.7865124966933236e-5,0.008203479324086086,2.1123419209579497,FALSE
Pafah1b3,7,-0.8623814868080473,4.905666409000805,-5.998232235525881,4.28778125186724e-5,0.008708885702034727,2.0884765961883254,FALSE
Hsd17b11,5,0.658965942738662,4.201001871030365,5.9036596194535775,5.010384468378566e-5,0.009577939368301909,2.031718283353589,FALSE
Dnase1l3,14,0.5847677762740382,7.002614221390946,6.0113290093859195,4.196705221468209e-5,0.008659201773629405,2.019415847488826,FALSE
Lpl,8,0.6870123976803644,3.99720316412462,5.838105113144347,5.58564870575392e-5,0.010069380112013993,1.9550514933909486,FALSE
Ccl24,5,0.773498090392978,3.7117141523673602,5.765840779279398,6.300999199133497e-5,0.01036793526449827,1.885335764677727,FALSE
Lyz1,10,1.1229679932433811,2.3649639545951118,5.622731701911799,8.01653582404395e-5,0.012117087113575268,1.81502415205542,FALSE
Pan3,5,0.5440848080871641,4.975457851899691,5.834574046035041,5.61854104665963e-5,0.010069380112013993,1.7881892487653381,FALSE
Sec11c,18,-0.5871562677404913,7.5545047788520865,-5.830708851861704,5.6547791997616855e-5,0.010069380112013993,1.7686609403144455,FALSE
Ntan1,16,-0.6331678500282658,4.467835750858097,-5.773143805573366,6.224521835065215e-5,0.01036793526449827,1.7668996722051418,FALSE
Tgfbi,13,0.5002493264352568,6.357963639837936,5.816595453900266,5.789198138781587e-5,0.010169430622435386,1.659921357600414,FALSE
Hmgn2,4,-0.5358532790411141,6.839262964564362,-5.7983180586085314,5.968281894582428e-5,0.010344226179690262,1.6451023803234417,FALSE
Khsrp,17,0.506348547584806,5.468007872219658,5.778443315950794,6.169635896465793e-5,0.01036793526449827,1.635768871968355,FALSE
